"","Ia","p.Ia","rbarD","p.rD"
"QS03797_1:MSQ13_1",0.06,0.03,0.06,0.03
"QS03797_1:QrZAG20_1",0.07,0,0.07,0
"QS03797_1:QS00314_1",-0.01,0.64,-0.01,0.64
"QS03797_1:QpZAG9_1",0.01,0.26,0.01,0.25
"QS03797_1:QS1904_1",-0.01,0.59,-0.01,0.59
"QS03797_1:MSQ4_1",0.08,0.01,0.08,0.01
"QS03797_1:QpZAG110_1",0.12,0,0.13,0
"QS03797_1:QS00562_1",0.05,0.09,0.05,0.09
"QS03797_1:QrZAG87_1",0.02,0.3,0.02,0.3
"QS03797_1:QpZAG1-5_1",0.04,0.02,0.04,0.02
"QS03797_1:QM6-2M1_1",0.02,0.26,0.02,0.26
"MSQ13_1:QrZAG20_1",0.16,0,0.16,0
"MSQ13_1:QS00314_1",0.04,0.27,0.05,0.23
"MSQ13_1:QpZAG9_1",0.13,0,0.14,0
"MSQ13_1:QS1904_1",-0.07,0.97,-0.07,0.97
"MSQ13_1:MSQ4_1",0.02,0.19,0.02,0.19
"MSQ13_1:QpZAG110_1",0.15,0,0.16,0
"MSQ13_1:QS00562_1",0.02,0.08,0.02,0.08
"MSQ13_1:QrZAG87_1",0.01,0.26,0.01,0.24
"MSQ13_1:QpZAG1-5_1",0.13,0,0.13,0
"MSQ13_1:QM6-2M1_1",0.19,0,0.19,0
"QrZAG20_1:QS00314_1",0.1,0,0.11,0
"QrZAG20_1:QpZAG9_1",0.11,0,0.11,0
"QrZAG20_1:QS1904_1",-0.01,0.66,-0.01,0.66
"QrZAG20_1:MSQ4_1",0.04,0,0.04,0
"QrZAG20_1:QpZAG110_1",0.16,0,0.18,0
"QrZAG20_1:QS00562_1",0,0.4,0,0.38
"QrZAG20_1:QrZAG87_1",0.12,0,0.14,0
"QrZAG20_1:QpZAG1-5_1",0.12,0,0.12,0
"QrZAG20_1:QM6-2M1_1",0.16,0,0.16,0
"QS00314_1:QpZAG9_1",0.07,0,0.08,0
"QS00314_1:QS1904_1",0.09,0.01,0.09,0.01
"QS00314_1:MSQ4_1",0.02,0.36,0.02,0.35
"QS00314_1:QpZAG110_1",0.11,0,0.11,0
"QS00314_1:QS00562_1",0.02,0.71,0.02,0.71
"QS00314_1:QrZAG87_1",0.22,0,0.22,0
"QS00314_1:QpZAG1-5_1",0.11,0,0.12,0
"QS00314_1:QM6-2M1_1",0.1,0,0.11,0
"QpZAG9_1:QS1904_1",0.01,0.33,0.01,0.33
"QpZAG9_1:MSQ4_1",0.02,0.02,0.03,0.02
"QpZAG9_1:QpZAG110_1",0.09,0,0.11,0
"QpZAG9_1:QS00562_1",0,0.44,0,0.43
"QpZAG9_1:QrZAG87_1",0.08,0,0.1,0
"QpZAG9_1:QpZAG1-5_1",0.12,0,0.12,0
"QpZAG9_1:QM6-2M1_1",0.14,0,0.14,0
"QS1904_1:MSQ4_1",-0.01,0.55,-0.01,0.55
"QS1904_1:QpZAG110_1",-0.04,0.82,-0.04,0.83
"QS1904_1:QS00562_1",0.07,0.04,0.07,0.04
"QS1904_1:QrZAG87_1",-0.07,0.92,-0.07,0.94
"QS1904_1:QpZAG1-5_1",0,0.57,0,0.57
"QS1904_1:QM6-2M1_1",0.03,0.14,0.03,0.14
"MSQ4_1:QpZAG110_1",0.13,0,0.13,0
"MSQ4_1:QS00562_1",-0.04,1,-0.04,1
"MSQ4_1:QrZAG87_1",-0.02,0.74,-0.02,0.74
"MSQ4_1:QpZAG1-5_1",0.06,0,0.06,0
"MSQ4_1:QM6-2M1_1",0.03,0.06,0.03,0.06
"QpZAG110_1:QS00562_1",0.01,0.19,0.01,0.19
"QpZAG110_1:QrZAG87_1",0.26,0,0.26,0
"QpZAG110_1:QpZAG1-5_1",0.14,0,0.15,0
"QpZAG110_1:QM6-2M1_1",0.2,0,0.21,0
"QS00562_1:QrZAG87_1",0.01,0.6,0.01,0.6
"QS00562_1:QpZAG1-5_1",0.03,0.03,0.03,0.02
"QS00562_1:QM6-2M1_1",0.03,0.04,0.03,0.03
"QrZAG87_1:QpZAG1-5_1",0.1,0,0.11,0
"QrZAG87_1:QM6-2M1_1",0.13,0,0.14,0
"QpZAG1-5_1:QM6-2M1_1",0.16,0,0.16,0
